Belgium;1341
Luxembourg;198
France;2550
Spain;2177
Portugal;495
Austria;1104
Switzerland;252
UK;853
Norway, Sweden, Finland;314
Denmark;212
Germany;3519
Italy;1175
Greece;510
Hungary;147
Czech Republic;224
Turkey;497
Egypt;79
Far East;330
USA;416
Caribbean;64
Other;1481
